NAME_EN,PCODE,ADMIN1_COD,ADMIN1_EN,AREA_SQKM
Ariha,SY0705,SY07,Idleb,603
Jisr-Ash-Shugur,SY0704,SY07,Idleb,611
Harim,SY0703,SY07,Idleb,736
Idleb,SY0700,SY07,Idleb,1437
Al Ma'ra,SY0702,SY07,Idleb,2029
Quamishli,SY0802,SY08,Al-Hasakeh,4044
Al-Malikeyyeh,SY0803,SY08,Al-Hasakeh,2655
Ras Al Ain,SY0804,SY08,Al-Hasakeh,3824
Al-Hasakeh,SY0800,SY08,Al-Hasakeh,12644
Ath-Thawrah,SY1103,SY11,Ar-Raqqa,5460
Tell Abiad,SY1102,SY11,Ar-Raqqa,4830
Ar-Raqqa,SY1101,SY11,Ar-Raqqa,7322
Shahba,SY1303,SY13,As-Sweida,1773
Salkhad,SY1302,SY13,As-Sweida,1780
As-Sweida,SY1300,SY13,As-Sweida,2804
Al Fiq,SY1402,SY14,Quneitra,404
Quneitra,SY1400,SY14,Quneitra,1314
Al-Haffa,SY0603,SY06,Lattakia,570
Al-Qardaha,SY0604,SY06,Lattakia,361
Jablah,SY0602,SY06,Lattakia,486
Lattakia,SY0600,SY06,Lattakia,972
A'zaz,SY0204,SY02,Aleppo,1259
Al Bab,SY0202,SY02,Aleppo,2013
As-Safira,SY0207,SY02,Aleppo,2849
Jebel Saman,SY0200,SY02,Aleppo,3065
Jarablus,SY0208,SY02,Aleppo,607
Afrin,SY0203,SY02,Aleppo,1841
Ain Al Arab,SY0206,SY02,Aleppo,3065
Menbij,SY0205,SY02,Aleppo,5180
As-Suqaylabiyah,SY0502,SY05,Hama,1110
As-Salamiyeh,SY0503,SY05,Hama,6190
Muhradah,SY0505,SY05,Hama,434
Hama,SY0501,SY05,Hama,2553
Masyaf,SY0504,SY05,Hama,804
Ar-Rastan,SY0404,SY04,Homs,290
Al-Qusayr,SY0402,SY04,Homs,599
Al Makhrim,SY0406,SY04,Homs,3013
Tadmor,SY0405,SY04,Homs,30801
Tall Kalakh,SY0403,SY04,Homs,476
Homs,SY0401,SY04,Homs,8022
Izra',SY1203,SY12,Dar'a,955
As-Sanamayn,SY1202,SY12,Dar'a,1331
Dar'a,SY1200,SY12,Dar'a,1549
Abu Kamal,SY0902,SY09,Deir-ez-Zor,6805
Al Mayadin,SY0903,SY09,Deir-ez-Zor,3953
Deir-ez-Zor,SY0901,SY09,Deir-ez-Zor,14382
At Tall,SY0304,SY03,Rural Damascus,559
Az-Zabdani,SY0307,SY03,Rural Damascus,655
Al Qutayfah,SY0303,SY03,Rural Damascus,1587
An Nabk,SY0306,SY03,Rural Damascus,1123
Darayya,SY0309,SY03,Rural Damascus,102
Duma,SY0302,SY03,Rural Damascus,19869
Qatana,SY0308,SY03,Rural Damascus,996
Rural Damascus,SY0301,SY03,Rural Damascus,780
Yabroud,SY0305,SY03,Rural Damascus,580
Sheikh Badr,SY1005,SY10,Tartous,214
Banyas,SY1002,SY10,Tartous,581
Dreikish,SY1004,SY10,Tartous,186
Safita,SY1003,SY10,Tartous,356
Tartous,SY1000,SY10,Tartous,537
Damascus,SY0100,SY01,Damascus,104
